0.03/0;28.11;1.60,-0.03,11.00;-0.16,0.17,0.04;30.51;8.00
0.05/0;28.05;1.54,-0.12,10.84;-0.09,-0.01,0.11;30.55;6.00
0.06/3;28.07;1.78,-0.02,10.64;-0.09,-0.02,0.03;30.65;6.00
0.08/0;27.99;1.71,-0.02,10.72;-0.09,-0.04,0.03;30.60;10.00
0.10/0;28.05;1.66,-0.03,10.91;-0.09,-0.04,0.03;30.55;11.00
0.11/0;28.07;1.72,-0.14,10.81;-0.09,-0.04,0.03;30.55;11.00
0.13/0;27.99;1.69,-0.00,10.78;-0.09,-0.04,0.03;30.60;10.00
0.15/3;27.99;1.72,-0.01,10.77;-0.09,-0.04,0.03;30.55;10.00
0.16/0;28.01;1.66,-0.04,10.72;-0.09,-0.04,0.03;30.65;12.00
0.18/0;27.99;1.68,-0.04,10.76;-0.09,-0.04,0.03;30.60;13.00
0.20/0;27.99;1.65,-0.03,10.75;-0.09,-0.04,0.03;30.69;12.00
0.21/0;27.95;1.60,-0.07,10.77;-0.09,-0.04,0.03;30.55;12.00
0.23/0;27.91;1.67,-0.03,10.74;-0.09,-0.04,0.03;30.60;11.00
0.25/37;27.91;1.73,-0.02,10.85;-0.09,-0.04,0.03;30.55;11.00
0.26/0;27.91;1.71,-0.02,10.79;-0.08,-0.04,0.03;30.55;12.00
0.28/0;27.91;1.66,-0.02,10.84;-0.09,-0.04,0.03;30.51;12.00
0.30/0;27.93;1.70,-0.01,10.75;-0.09,-0.04,0.03;30.51;12.00
0.32/0;27.99;1.65,0.03,10.85;-0.09,-0.04,0.03;30.65;11.00
0.33/36;27.91;1.69,-0.08,10.76;-0.09,-0.04,0.03;30.60;11.00
0.35/0;27.91;1.65,-0.04,10.81;-0.09,-0.04,0.03;30.55;11.00
0.37/0;27.99;1.69,-0.07,10.75;-0.09,-0.04,0.03;30.55;12.00
0.38/0;27.95;1.66,-0.04,10.76;-0.09,-0.04,0.03;30.65;12.00
